Jour;Date;Heure;Humidite;Temperature;Target_temp;Target_hum
Tuesday ;16/07/2024;10:14:35;54.1;23.6;normal; humide
Tuesday ;16/07/2024;10:14:36;53.9;23.9;normal; humide
Tuesday ;16/07/2024;10:14:37;53.9;23.9;normal; humide
Tuesday ;16/07/2024;10:14:38;53.9;23.9;normal; humide
Tuesday ;16/07/2024;10:14:39;53.2;24.2;normal; humide
Tuesday ;16/07/2024;10:14:40;53.2;24.2;normal; humide
Tuesday ;16/07/2024;10:14:41;53.2;24.2;normal; humide
Tuesday ;16/07/2024;10:14:42;52.4;24.4;normal; humide
Tuesday ;16/07/2024;10:14:43;52.4;24.4;normal; humide
Tuesday ;16/07/2024;10:14:44;52.4;24.4;normal; humide
Tuesday ;16/07/2024;10:14:45;51.6;24.7;normal; humide
Tuesday ;16/07/2024;10:14:46;51.6;24.7;normal; humide
Tuesday ;16/07/2024;10:14:47;51.6;24.7;normal; humide
Tuesday ;16/07/2024;10:14:48;50.9;24.9;normal; humide
Tuesday ;16/07/2024;10:14:49;50.9;24.9;normal; humide
Tuesday ;16/07/2024;10:14:50;50.9;24.9;normal; humide
Tuesday ;16/07/2024;10:14:51;50.2;25.2;normal; humide
Tuesday ;16/07/2024;10:14:52;50.2;25.2;normal; humide
Tuesday ;16/07/2024;10:14:53;50.2;25.2;normal; humide
Tuesday ;16/07/2024;10:14:54;49.6;25.5;normal;sec
Tuesday ;16/07/2024;10:14:55;49.6;25.5;normal;sec
Tuesday ;16/07/2024;10:14:56;49.6;25.5;normal;sec
Tuesday ;16/07/2024;10:14:57;49.0;25.8;normal;sec
Tuesday ;16/07/2024;10:14:58;49.0;25.8;normal;sec
Tuesday ;16/07/2024;10:14:59;49.0;25.8;normal;sec
Tuesday ;16/07/2024;10:15:00;48.5;26.0;normal;sec
Tuesday ;16/07/2024;10:15:01;48.5;26.0;normal;sec
Tuesday ;16/07/2024;10:15:02;48.5;26.0;normal;sec
Tuesday ;16/07/2024;10:15:03;47.9;26.3;normal;sec
Tuesday ;16/07/2024;10:15:04;47.9;26.3;normal;sec
Tuesday ;16/07/2024;10:15:05;47.9;26.3;normal;sec
Tuesday ;16/07/2024;10:15:06;47.5;26.5;normal;sec
Tuesday ;16/07/2024;10:15:07;47.5;26.5;normal;sec
Tuesday ;16/07/2024;10:15:08;47.5;26.5;normal;sec
Tuesday ;16/07/2024;10:15:09;46.9;26.8;normal;sec
Tuesday ;16/07/2024;10:15:10;46.9;26.8;normal;sec
